date,time,symbol,sector,direction,price,sl,tp,atr,qty,risk,vwap,rsi,vol_ratio,htf_ema,regime_ema,regime_trend,phase
2026-02-26,10:12:13,TITAN,Consumer,LONG,4345.0,4338.18,4355.23,6.82,57,388.64,4336.62,64.9,1.4,,4199.3,Bullish,ACTIVE_AM
2026-02-26,10:27:06,TITAN,Consumer,LONG,4344.7,4338.75,4353.62,5.95,57,338.98,4337.63,63.2,1.0,,4199.3,Bullish,ACTIVE_AM
2026-02-26,10:30:13,SBILIFE,Finance,LONG,2099.6,2096.5,2104.26,3.1,119,369.45,2093.96,68.1,1.4,2086.51,2048.98,Bullish,ACTIVE_AM
2026-02-26,10:51:11,HINDALCO,Metals,LONG,936.15,934.93,937.98,1.22,267,325.98,935.7,55.4,2.1,935.43,930.23,Bullish,ACTIVE_AM
2026-02-26,10:57:09,ONGC,Energy,LONG,277.15,276.69,277.85,0.46,902,418.08,277.12,58.4,1.1,276.59,268.23,Bullish,ACTIVE_AM
2026-02-26,10:57:14,SBILIFE,Finance,LONG,2096.5,2093.56,2100.9,2.94,119,349.44,2095.41,42.1,3.1,2088.92,2048.98,Bullish,ACTIVE_AM
2026-02-26,11:03:08,ADANIPORTS,Conglomerate,LONG,1544.0,1541.52,1547.72,2.48,161,399.25,1537.11,60.5,1.7,,1515.83,Bullish,ACTIVE_AM
2026-02-26,11:33:08,ADANIPORTS,Conglomerate,LONG,1544.5,1542.12,1548.07,2.38,161,382.9,1538.56,46.7,2.0,,1515.83,Bullish,ACTIVE_AM
2026-02-26,11:33:11,BAJAJFINSV,Finance,LONG,2055.5,2051.74,2061.14,3.76,121,454.79,2054.4,51.0,2.0,2052.2,2026.46,Bullish,ACTIVE_AM
2026-02-26,11:45:09,ONGC,Energy,LONG,277.45,277.0,278.13,0.45,901,409.33,277.43,42.4,1.8,276.92,268.23,Bullish,ACTIVE_AM
2026-02-26,11:51:11,HINDALCO,Metals,LONG,936.0,934.74,937.89,1.26,267,336.07,935.45,55.6,1.1,935.25,930.23,Bullish,ACTIVE_AM
2026-02-26,14:18:08,ADANIPORTS,Conglomerate,LONG,1544.7,1542.52,1547.97,2.18,161,351.42,1540.54,58.5,2.1,,1515.83,Bullish,ACTIVE_PM
2026-02-26,14:37:47,TITAN,Consumer,LONG,4332.7,4327.71,4340.18,4.99,57,284.37,4331.6,65.1,1.0,,4199.3,Bullish,ACTIVE_PM
2026-02-26,14:40:53,HINDALCO,Metals,LONG,940.15,939.15,941.64,1.0,265,263.73,936.91,67.2,1.3,937.5,930.23,Bullish,ACTIVE_PM
2026-02-26,14:51:09,ONGC,Energy,LONG,278.1,277.68,278.73,0.42,898,378.35,277.85,58.7,2.2,277.68,268.23,Bullish,ACTIVE_PM
2026-02-26,14:54:08,ADANIPORTS,Conglomerate,LONG,1548.3,1545.73,1552.15,2.57,161,413.23,1541.67,56.6,1.4,,1515.83,Bullish,ACTIVE_PM
