date,time,symbol,sector,direction,trigger,price,sl,tp,atr,qty,risk,vwap,rsi,vol_ratio,phase
2026-03-07,10:06:00,JSWSTEEL,Steel,SHORT,PDL,1228.55,1235.09,1212.2,6.54,114,745.58,1173.0,4.8,0.0,ACTIVE_AM
2026-03-07,11:21:00,JSWSTEEL,Steel,LONG,PDL,1251.15,1230.63,1302.45,20.52,36,738.63,1247.11,75.7,0.0,ACTIVE_AM
2026-03-07,10:06:00,HINDUNILVR,FMCG,SHORT,PDL,2218.45,2228.97,2192.15,10.52,71,746.85,2117.0,2.8,0.0,ACTIVE_AM
2026-03-07,12:03:00,HINDUNILVR,FMCG,LONG,PDL,2258.27,2175.59,2464.96,82.68,9,744.08,2268.91,57.9,0.6,ACTIVE_AM
2026-03-07,10:06:00,AXISBANK,Banking,SHORT,PDL,1312.81,1319.68,1295.64,6.87,109,748.67,1251.0,2.4,0.0,ACTIVE_AM
2026-03-07,11:21:00,AXISBANK,Banking,LONG,PDL,1352.46,1306.84,1466.52,45.62,16,729.99,1330.22,70.9,0.1,ACTIVE_AM
2026-03-07,10:06:00,TATASTEEL,Steel,SHORT,PDL,197.0,198.03,194.4,1.04,722,749.22,190.0,6.9,0.0,ACTIVE_AM
2026-03-07,10:57:00,TATASTEEL,Steel,LONG,PDL,202.56,198.97,211.53,3.59,208,746.49,200.95,73.6,0.0,ACTIVE_AM
2026-03-07,10:21:00,TRENT,Retail,LONG,PDL,3832.62,3796.45,3923.04,36.17,20,723.4,3876.68,79.0,0.2,ACTIVE_AM
2026-03-07,12:15:00,TRENT,Retail,SHORT,PDL,3705.7,3806.71,3453.16,101.02,7,707.11,3813.52,25.4,2.2,ACTIVE_AM
2026-03-07,10:15:00,BAJAJ-AUTO,Auto,SHORT,PDL,9684.91,9735.79,9557.71,50.88,14,712.35,9408.24,3.4,0.1,ACTIVE_AM
2026-03-07,12:06:00,BAJAJ-AUTO,Auto,LONG,PDL,9923.23,9535.93,10891.47,387.3,1,387.3,9734.84,62.4,1.4,ACTIVE_AM
2026-03-07,10:06:00,BAJFINANCE,Finance,LONG,PDL,961.84,958.43,970.37,3.41,219,746.73,972.0,88.7,0.0,ACTIVE_AM
2026-03-07,10:15:00,HDFCBANK,Banking,SHORT,PDL,854.26,862.62,833.38,8.35,89,743.32,872.3,34.2,0.1,ACTIVE_AM
2026-03-07,10:54:00,HDFCBANK,Banking,LONG,PDL,874.0,850.96,931.61,23.04,32,737.3,878.89,73.4,0.0,ACTIVE_AM
2026-03-07,10:15:00,POWERGRID,Power,SHORT,PDL,296.88,298.08,293.89,1.2,627,749.48,295.43,17.3,0.0,ACTIVE_AM
2026-03-07,11:03:00,POWERGRID,Power,LONG,PDL,303.43,296.59,320.54,6.84,109,746.0,300.61,57.6,0.0,ACTIVE_AM
2026-03-07,10:06:00,HCLTECH,IT,SHORT,PDL,1353.6,1359.57,1338.67,5.97,125,746.43,1300.0,5.2,0.0,ACTIVE_AM
2026-03-07,12:12:00,HCLTECH,IT,LONG,PDL,1383.06,1360.42,1439.66,22.64,33,747.09,1369.56,71.9,0.0,ACTIVE_AM
