date,time,symbol,sector,direction,trigger,variant,price,sl,tp,atr,qty,risk,vwap,rsi,vol_ratio,phase
2026-03-13,09:36:01,JSWSTEEL,Steel,SHORT,PDL_BASE,Baseline,1149.61,1153.51,1141.8,3.91,192,749.77,1157.41,18.2,2.6,ACTIVE_AM
2026-03-13,09:36:02,JSWSTEEL,Steel,SHORT,PDL_BC50,BodyClose50,1149.61,1153.51,1141.8,3.91,192,749.77,1157.41,18.2,2.6,ACTIVE_AM
2026-03-13,09:39:01,BAJAJ-AUTO,Auto,SHORT,PDL_BASE,Baseline,9077.78,9100.02,9033.28,22.25,27,600.63,9086.16,29.7,0.2,ACTIVE_AM
2026-03-13,09:39:02,BAJAJ-AUTO,Auto,SHORT,PDL_BC50,BodyClose50,9077.78,9100.02,9033.28,22.25,27,600.63,9086.16,29.7,0.2,ACTIVE_AM
2026-03-13,09:39:03,HDFCBANK,Banking,SHORT,PDL_BASE,Baseline,819.85,822.32,814.91,2.47,303,748.65,819.77,27.4,0.5,ACTIVE_AM
2026-03-13,09:39:03,HDFCBANK,Banking,SHORT,PDL_BC50,BodyClose50,819.85,822.32,814.91,2.47,303,748.65,819.77,27.4,0.5,ACTIVE_AM
2026-03-13,09:45:01,HINDUNILVR,FMCG,LONG,PDL_BASE,Baseline,2165.69,2159.75,2177.58,5.94,115,683.34,2148.78,80.5,0.6,ACTIVE_AM
2026-03-13,09:45:02,HINDUNILVR,FMCG,LONG,PDL_BC50,BodyClose50,2165.69,2159.75,2177.58,5.94,115,683.34,2148.78,80.5,0.6,ACTIVE_AM
2026-03-13,09:57:01,HCLTECH,IT,SHORT,PDL_BASE,Baseline,1340.69,1343.75,1334.59,3.05,186,567.37,1343.96,30.1,0.5,ACTIVE_AM
2026-03-13,09:57:02,HCLTECH,IT,SHORT,PDL_BC50,BodyClose50,1340.69,1343.75,1334.59,3.05,186,567.37,1343.96,30.1,0.5,ACTIVE_AM
2026-03-13,11:36:01,POWERGRID,Power,LONG,PDL_BASE,Baseline,304.97,304.29,306.33,0.68,819,557.11,305.51,71.0,1.4,ACTIVE_AM
2026-03-13,11:36:02,POWERGRID,Power,LONG,PDL_BC50,BodyClose50,304.97,304.29,306.33,0.68,819,557.11,305.51,71.0,1.4,ACTIVE_AM
