date,time,symbol,sector,direction,trigger,variant,price,sl,tp,atr,qty,risk,phase
2026-04-10,09:39:01,JSWSTEEL,Steel,LONG,PDL_BASE,Baseline,1218.3,1215.31,1222.79,2.99,61,182.65,ACTIVE_AM
2026-04-10,09:39:21,TCS,IT,SHORT,PDL_BASE,Baseline,2530.03,2540.76,2513.93,10.73,20,214.61,ACTIVE_AM
2026-04-10,09:42:02,BAJAJFINSV,Finance,LONG,PDL_BASE,Baseline,1793.05,1787.54,1801.31,5.51,40,220.31,ACTIVE_AM
2026-04-10,10:15:02,HINDUNILVR,FMCG,LONG,PDL_BASE,Baseline,2163.44,2158.02,2171.58,5.42,34,184.42,ACTIVE_AM
2026-04-10,10:33:02,MARUTI,Auto,LONG,PDL_BASE,Baseline,13776.49,13741.56,13828.88,34.93,5,174.64,ACTIVE_AM
2026-04-10,11:00:01,HDFCLIFE,Insurance,LONG,PDL_BASE,Baseline,599.64,598.24,601.74,1.4,125,174.84,ACTIVE_AM
2026-04-10,12:36:01,TRENT,Retail,LONG,PDL_BASE,Baseline,3939.36,3930.72,3952.33,8.64,19,164.23,ACTIVE_AM
2026-04-10,14:00:01,SBIN,Banking,LONG,PDL_BASE,Baseline,1064.53,1062.76,1067.18,1.77,70,123.79,ACTIVE_AM
2026-04-10,10:12:00,HINDUNILVR,FMCG,LONG,PDL_BASE,Baseline,2163.48,2157.68,2172.18,5.8,34,197.23,ACTIVE_AM
2026-04-10,10:57:00,HDFCLIFE,Insurance,LONG,PDL_BASE,Baseline,599.65,598.19,601.83,1.46,125,181.97,ACTIVE_AM
2026-04-10,09:27:00,BAJAJFINSV,Finance,LONG,PDL_BASE,Baseline,1793.11,1787.0,1802.27,6.11,36,219.82,ACTIVE_AM
2026-04-10,09:36:00,JSWSTEEL,Steel,LONG,PDL_BASE,Baseline,1218.33,1215.04,1223.26,3.29,61,200.54,ACTIVE_AM
2026-04-10,09:39:00,HCLTECH,IT,SHORT,PDL_BASE,Baseline,1435.49,1440.56,1427.9,5.06,44,222.81,ACTIVE_AM
2026-04-10,12:33:00,TRENT,Retail,LONG,PDL_BASE,Baseline,3939.42,3930.22,3953.22,9.2,19,174.82,ACTIVE_AM
2026-04-10,09:36:00,TCS,IT,SHORT,PDL_BASE,Baseline,2529.98,2541.18,2513.19,11.2,20,223.94,ACTIVE_AM
