date,time,symbol,sector,direction,price,sl,tp,atr,qty,risk,vwap,rsi,vol_ratio,htf_ema,regime_ema,regime_trend,phase
2026-02-20,10:36:00,HDFCLIFE,Finance,LONG,733.55,732.08,735.76,1.47,339,498.95,730.97,66.4,1.2,,719.38,Bullish,ACTIVE_AM
2026-02-20,10:51:00,HDFCLIFE,Finance,LONG,734.6,733.25,736.62,1.35,340,457.56,731.26,68.7,1.0,,719.38,Bullish,ACTIVE_AM
2026-02-20,11:06:00,HDFCLIFE,Finance,LONG,734.7,733.46,736.56,1.24,340,422.33,731.54,62.2,1.2,,719.38,Bullish,ACTIVE_AM
2026-02-20,11:42:00,HDFCLIFE,Finance,LONG,734.0,733.02,735.46,0.98,340,331.97,731.87,47.9,4.1,,719.38,Bullish,ACTIVE_AM
2026-02-20,10:30:00,TATASTEEL,Metals,LONG,207.23,206.77,207.91,0.46,1098,499.69,205.99,69.4,1.1,206.72,199.79,Bullish,ACTIVE_AM
2026-02-20,10:45:00,TATASTEEL,Metals,LONG,207.63,207.19,208.29,0.44,1140,499.56,206.26,67.5,1.6,206.8,199.79,Bullish,ACTIVE_AM
2026-02-20,11:00:00,TATASTEEL,Metals,LONG,207.5,207.1,208.1,0.4,1204,477.95,206.35,58.1,1.2,206.86,199.79,Bullish,ACTIVE_AM
2026-02-20,11:15:00,TATASTEEL,Metals,LONG,207.47,207.07,208.07,0.4,1204,481.75,206.45,53.7,1.5,206.92,199.79,Bullish,ACTIVE_AM
2026-02-20,11:39:00,TATASTEEL,Metals,LONG,207.9,207.52,208.47,0.38,1202,453.44,206.67,59.7,1.2,207.0,199.79,Bullish,ACTIVE_AM
2026-02-20,11:57:00,TATASTEEL,Metals,LONG,208.33,207.96,208.88,0.37,1200,443.67,206.77,66.4,1.3,207.11,199.79,Bullish,ACTIVE_AM
2026-02-20,14:09:00,TATASTEEL,Metals,LONG,208.89,208.57,209.37,0.32,1196,384.63,207.51,59.3,1.7,208.02,199.79,Bullish,ACTIVE_PM
2026-02-20,14:30:00,TATASTEEL,Metals,LONG,208.8,208.51,209.23,0.29,1197,346.32,207.59,51.0,1.6,208.17,199.79,Bullish,ACTIVE_PM
2026-02-20,14:48:00,TATASTEEL,Metals,LONG,208.74,208.44,209.19,0.3,1197,361.23,207.65,50.4,1.1,208.22,199.79,Bullish,ACTIVE_PM
2026-02-20,10:06:00,TITAN,Consumer,LONG,4233.6,4223.42,4248.88,10.18,49,499.04,4231.61,52.6,1.2,,4166.49,Bullish,ACTIVE_AM
2026-02-20,10:39:00,TITAN,Consumer,LONG,4243.9,4236.04,4255.68,7.86,58,455.63,4234.25,59.7,1.3,,4166.49,Bullish,ACTIVE_AM
2026-02-20,11:12:00,TITAN,Consumer,LONG,4237.2,4230.68,4246.99,6.52,59,384.97,4234.69,47.7,1.0,,4166.49,Bullish,ACTIVE_AM
2026-02-20,11:39:00,TITAN,Consumer,LONG,4245.9,4240.45,4254.07,5.45,58,315.81,4235.5,64.7,1.2,,4166.49,Bullish,ACTIVE_AM
2026-02-20,14:21:00,TITAN,Consumer,LONG,4247.5,4243.94,4252.84,3.56,58,206.54,4239.14,60.9,1.6,,4166.49,Bullish,ACTIVE_PM
2026-02-20,14:36:00,TITAN,Consumer,LONG,4243.0,4239.03,4248.96,3.97,58,230.36,4239.24,46.1,1.2,,4166.49,Bullish,ACTIVE_PM
2026-02-20,14:51:00,TITAN,Consumer,LONG,4245.1,4240.91,4251.38,4.19,58,242.95,4239.59,48.3,1.1,,4166.49,Bullish,ACTIVE_PM
2026-02-20,10:42:00,ADANIPORTS,Conglomerate,LONG,1517.5,1514.49,1522.02,3.01,164,493.74,1512.95,67.1,2.3,,1506.71,Bullish,ACTIVE_AM
2026-02-20,11:45:00,ADANIPORTS,Conglomerate,LONG,1515.7,1513.52,1518.97,2.18,164,357.17,1513.77,58.8,1.1,,1506.71,Bullish,ACTIVE_AM
2026-02-20,14:24:00,ADANIPORTS,Conglomerate,LONG,1518.0,1515.74,1521.39,2.26,164,370.58,1516.57,54.5,1.2,,1506.71,Bullish,ACTIVE_PM
2026-02-20,11:21:00,ONGC,Energy,LONG,278.5,277.85,279.48,0.65,764,499.61,278.35,56.2,2.7,275.77,265.45,Bullish,ACTIVE_AM
2026-02-20,11:45:00,ONGC,Energy,LONG,279.05,278.51,279.86,0.54,895,483.2,278.37,65.2,2.5,276.3,265.45,Bullish,ACTIVE_AM
2026-02-20,10:24:00,BAJAJFINSV,Finance,LONG,2043.6,2039.46,2049.8,4.14,120,496.25,2033.42,68.9,2.3,2040.36,2019.46,Bullish,ACTIVE_AM
2026-02-20,10:51:00,BAJAJFINSV,Finance,LONG,2044.5,2041.13,2049.56,3.37,122,411.5,2035.83,60.0,1.0,2041.12,2019.46,Bullish,ACTIVE_AM
2026-02-20,11:27:00,BAJAJFINSV,Finance,LONG,2046.9,2044.34,2050.73,2.56,122,311.84,2037.61,64.1,1.8,2041.8,2019.46,Bullish,ACTIVE_AM
2026-02-20,11:48:00,BAJAJFINSV,Finance,LONG,2049.6,2047.28,2053.08,2.32,121,280.73,2039.55,64.4,1.4,2043.09,2019.46,Bullish,ACTIVE_AM
2026-02-20,14:27:00,BAJAJFINSV,Finance,LONG,2061.1,2059.32,2063.77,1.78,121,215.1,2052.52,53.5,7.7,2052.86,2019.46,Bullish,ACTIVE_PM
2026-02-20,14:42:00,BAJAJFINSV,Finance,LONG,2061.9,2059.91,2064.89,1.99,121,240.87,2053.06,56.2,2.7,2053.69,2019.46,Bullish,ACTIVE_PM
2026-02-20,14:33:00,HINDALCO,Metals,LONG,932.45,931.28,934.21,1.17,268,313.91,925.23,69.3,2.5,925.61,931.77,Bullish,ACTIVE_PM
2026-02-20,14:51:00,HINDALCO,Metals,LONG,934.75,933.26,936.99,1.49,267,398.58,926.12,64.8,2.8,926.53,931.77,Bullish,ACTIVE_PM
2026-02-20,11:15:00,SBILIFE,Finance,LONG,2070.6,2068.05,2074.43,2.55,120,306.2,2057.72,69.2,3.4,2055.15,2036.39,Bullish,ACTIVE_AM
2026-02-20,14:03:00,SBILIFE,Finance,LONG,2075.0,2072.47,2078.79,2.53,120,303.34,2064.96,67.1,4.8,2065.22,2036.39,Bullish,ACTIVE_PM
2026-02-20,14:30:00,SBILIFE,Finance,LONG,2075.7,2073.53,2078.96,2.17,120,260.69,2066.98,60.9,1.9,2067.09,2036.39,Bullish,ACTIVE_PM
