symbol,variant,total_trades,won,lost,win_rate,net_pnl,profit_factor,avg_win,avg_loss,max_drawdown_pct,sharpe,exits_sl,exits_tp,exits_tp2,exits_sl_breakeven,exits_squareoff,tp1_hits
HDFCLIFE,baseline,38,19,19,50.0,4338.95,1.57,627.11,-398.75,3.62,1.265,19,19,0,0,0,0
HDFCLIFE,rsi_tight,48,20,28,41.67,1334.27,1.13,597.6,-379.2,6.01,0.349,28,20,0,0,0,0
HDFCLIFE,vwap_ext,22,13,9,59.09,4781.0,2.18,678.8,-449.27,2.3,2.893,9,13,0,0,0,0
HDFCLIFE,vol_cap,30,16,14,53.33,4089.0,1.72,611.14,-406.37,5.07,2.377,14,16,0,0,0,0
HDFCLIFE,gap_filter,38,19,19,50.0,4338.95,1.57,627.11,-398.75,3.62,1.265,19,19,0,0,0,0
HDFCLIFE,pdhl,38,19,19,50.0,4338.95,1.57,627.11,-398.75,3.62,1.265,19,19,0,0,0,0
HDFCLIFE,all_filters,20,10,10,50.0,2190.99,1.52,644.11,-425.01,4.34,12.918,10,10,0,0,0,0
HDFCLIFE,scale_out,37,22,15,59.46,4015.54,1.66,458.62,-404.95,2.3,1.3,15,0,11,11,0,22
HDFCLIFE,scale_combo,21,12,9,57.14,912.28,1.23,402.14,-434.82,4.35,1.333,9,0,5,7,0,12
TATASTEEL,baseline,25,14,11,56.0,3157.14,1.68,556.64,-421.44,4.37,1.123,11,13,0,0,1,0
TATASTEEL,rsi_tight,34,20,14,58.82,6149.57,2.03,604.86,-424.83,3.71,1.173,14,18,0,0,2,0
TATASTEEL,vwap_ext,20,13,7,65.0,4508.31,2.35,603.76,-477.23,3.55,0.964,7,12,0,0,1,0
TATASTEEL,vol_cap,26,16,10,61.54,5219.19,2.29,578.21,-403.22,3.95,1.001,10,14,0,0,2,0
TATASTEEL,gap_filter,25,14,11,56.0,3157.14,1.68,556.64,-421.44,4.37,1.123,11,13,0,0,1,0
TATASTEEL,pdhl,25,14,11,56.0,3157.14,1.68,556.64,-421.44,4.37,1.123,11,13,0,0,1,0
TATASTEEL,all_filters,14,8,6,57.14,2430.22,1.88,647.74,-458.61,2.47,1.114,6,8,0,0,0,0
TATASTEEL,scale_out,29,16,13,55.17,3687.08,1.71,553.34,-397.42,6.28,0.577,13,0,11,4,1,16
TATASTEEL,scale_combo,16,9,7,56.25,2506.8,1.78,634.14,-457.21,2.3,0.982,7,0,7,2,0,9
TITAN,baseline,31,15,16,48.39,3081.8,1.64,526.67,-301.14,4.58,0.757,16,15,0,0,0,0
TITAN,rsi_tight,38,19,19,50.0,3443.2,1.58,494.63,-313.41,5.22,0.67,19,18,0,0,1,0
TITAN,vwap_ext,14,9,5,64.29,3154.23,3.15,513.38,-293.24,1.56,4.14,5,9,0,0,0,0
