Symbol,Sector,HTF Recommended,Base P&L,Base Trades,Base Win%,Base PF,Base MaxDD%,HTF P&L,HTF Trades,HTF Win%,HTF PF,HTF MaxDD%,Best P&L,Best Trades,Best Win%,Best PF,Best MaxDD%,Best MaxDD INR,Sharpe,Longs,Long Wins,Long P&L,Shorts,Short Wins,Short P&L,Best Side,Verdict
MARUTI,Auto,BASE,6233.47,50,42.0,1.68,5.08,5663.12,37,43.2,1.85,3.03,6233.47,50,42.0,1.68,5.08,2576.6,0.913,20,10,1026.7,30,11,5206.77,SHORT,MARGINAL
HDFCLIFE,Finance,BASE,4338.95,38,50.0,1.57,3.62,4166.53,31,51.6,1.74,4.31,4338.95,38,50.0,1.57,3.62,1852.68,1.265,18,10,2533.35,20,9,1805.6,LONG,TRADEABLE
TATASTEEL,Metals,HTF,2561.12,32,50.0,1.39,3.73,3157.14,25,56.0,1.68,4.37,3157.14,25,56.0,1.68,4.37,2221.71,1.123,12,9,3167.92,13,5,-10.77,LONG,TRADEABLE
TITAN,Consumer,BASE,3081.8,31,48.4,1.64,4.58,408.6,26,38.5,1.09,4.58,3081.8,31,48.4,1.64,4.58,2322.15,0.757,12,9,3324.32,19,6,-242.52,LONG,TRADEABLE
M&M,Auto,HTF,46.25,35,40.0,1.01,6.67,2625.46,27,48.1,1.51,4.47,2625.46,27,48.1,1.51,4.47,2344.34,4.214,12,5,555.51,15,8,2069.95,SHORT,TRADEABLE
ADANIPORTS,Conglomerate,BASE,2285.94,44,45.5,1.26,5.85,99.77,27,37.0,1.02,5.06,2285.94,44,45.5,1.26,5.85,3019.94,1.419,22,6,-2951.31,22,14,5237.25,SHORT,TRADEABLE
ONGC,Energy,HTF,1567.17,34,47.1,1.2,4.37,2061.37,24,50.0,1.42,3.03,2061.37,24,50.0,1.42,3.03,1514.45,0.434,11,8,3657.1,13,4,-1595.73,LONG,TRADEABLE
EICHERMOT,Auto,HTF,916.69,46,39.1,1.11,6.25,1889.99,35,42.9,1.3,5.09,1889.99,35,42.9,1.3,5.09,2549.91,0.327,20,12,4531.62,15,3,-2641.63,LONG,MARGINAL
BAJAJFINSV,Finance,HTF,238.76,36,47.2,1.03,6.25,1459.02,23,52.2,1.33,3.45,1459.02,23,52.2,1.33,3.45,1812.41,0.919,13,6,566.49,10,6,892.53,SHORT,TRADEABLE
INFY,IT,BASE,1119.84,40,42.5,1.14,6.01,205.62,32,40.6,1.03,6.63,1119.84,40,42.5,1.14,6.01,3014.44,0.217,25,9,-533.39,15,8,1653.24,SHORT,MARGINAL
HINDALCO,Metals,HTF,208.46,40,42.5,1.02,6.53,669.33,31,45.2,1.09,5.54,669.33,31,45.2,1.09,5.54,2965.96,0.718,15,9,2803.26,16,5,-2133.93,LONG,TRADEABLE
HCLTECH,IT,HTF,-1847.47,48,37.5,0.85,5.3,464.49,37,43.2,1.05,4.57,464.49,37,43.2,1.05,4.57,2364.98,0.181,18,7,238.4,19,9,226.09,LONG,MARGINAL
TCS,IT,HTF,-1656.96,47,38.3,0.83,8.62,400.99,34,44.1,1.06,6.37,400.99,34,44.1,1.06,6.37,3196.58,0.093,21,11,1709.55,13,4,-1308.56,LONG,MARGINAL
BHARTIARTL,Telecom,BASE,342.74,69,40.6,1.03,9.3,-1635.35,54,37.0,0.85,7.04,342.74,69,40.6,1.03,9.3,4731.95,0.08,35,16,1143.5,34,12,-800.76,LONG,MARGINAL
NESTLEIND,FMCG,HTF,-475.22,41,39.0,0.95,7.57,325.89,32,40.6,1.05,4.45,325.89,32,40.6,1.05,4.45,2338.23,0.124,15,6,61.4,17,7,264.48,SHORT,MARGINAL
ADANIENT,Conglomerate,HTF,219.15,56,41.1,1.01,8.44,309.4,39,41.0,1.03,5.97,309.4,39,41.0,1.03,5.97,3158.66,0.976,23,7,-3356.19,15,8,2372.43,SHORT,MARGINAL
BAJAJ-AUTO,Auto,HTF,-1722.75,45,37.8,0.82,7.97,253.86,36,41.7,1.04,6.55,253.86,36,41.7,1.04,6.55,3339.64,0.141,16,7,893.84,20,8,-639.98,LONG,MARGINAL
POWERGRID,Energy,HTF,-386.81,59,42.4,0.97,6.94,88.5,49,42.9,1.01,5.19,88.5,49,42.9,1.01,5.19,2612.59,0.035,26,12,658.71,23,9,-570.21,LONG,MARGINAL
SBILIFE,Finance,HTF,-968.38,44,43.2,0.89,6.41,17.76,37,45.9,1.0,5.22,17.76,37,45.9,1.0,5.22,2667.28,-0.193,24,14,2530.26,13,3,-2512.49,LONG,TRADEABLE
HDFCBANK,Finance,HTF,-912.57,28,35.7,0.83,3.69,-331.26,23,39.1,0.92,3.37,-331.26,23,39.1,0.92,3.37,1706.75,-0.216,12,5,-138.02,11,4,-193.25,LONG,MARGINAL
CIPLA,Pharma,HTF,-2773.5,40,37.5,0.69,8.0,-490.12,25,44.0,0.9,2.96,-490.12,25,44.0,0.9,2.96,1479.66,-0.465,16,9,1364.31,9,2,-1854.42,LONG,MARGINAL
HINDUNILVR,FMCG,HTF,-3257.1,46,34.8,0.7,8.82,-670.7,33,39.4,0.9,4.32,-670.7,33,39.4,0.9,4.32,2191.42,-0.419,20,8,-112.38,13,5,-558.32,LONG,MARGINAL
SBIN,Finance,HTF,-3402.91,32,25.0,0.52,9.84,-895.31,22,31.8,0.8,6.16,-895.31,22,31.8,0.8,6.16,3077.53,-0.712,11,4,52.82,11,3,-948.13,LONG,MARGINAL
BAJFINANCE,Finance,HTF,-2101.08,38,34.2,0.77,9.36,-937.38,27,37.0,0.85,5.21,-937.38,27,37.0,0.85,5.21,2647.84,-0.754,11,3,-1384.59,16,7,447.21,SHORT,MARGINAL
JSWSTEEL,Metals,BASE,-1145.96,38,36.8,0.89,8.69,-2138.72,30,33.3,0.74,6.8,-1145.96,38,36.8,0.89,8.69,4648.57,-0.334,20,8,-106.93,18,6,-1039.03,LONG,MARGINAL
RELIANCE,Conglomerate,HTF,-1860.85,18,33.3,0.55,4.55,-1312.99,11,27.3,0.49,3.32,-1312.99,11,27.3,0.49,3.32,1660.84,,6,2,-531.02,5,1,-781.98,LONG,AVOID
ULTRACEMCO,Cement,HTF,-1577.77,39,35.9,0.82,5.74,-1313.58,30,33.3,0.81,3.7,-1313.58,30,33.3,0.81,3.7,1872.27,-7.72,17,5,-1508.35,13,5,194.77,SHORT,MARGINAL
ASIANPAINT,Consumer,HTF,-2142.09,33,36.4,0.72,8.54,-1526.87,28,35.7,0.76,8.33,-1526.87,28,35.7,0.76,8.33,4234.83,-0.575,13,3,-2500.29,15,7,973.41,SHORT,MARGINAL
INDIGO,Aviation,HTF,-2955.28,40,32.5,0.68,10.77,-1601.92,28,35.7,0.74,8.63,-1601.92,28,35.7,0.74,8.63,4356.02,-1.04,15,5,-917.51,13,5,-684.41,SHORT,MARGINAL
BEL,Defence,HTF,-3758.19,38,34.2,0.64,8.43,-1648.26,26,38.5,0.76,5.03,-1648.26,26,38.5,0.76,5.03,2538.05,-11.393,11,3,-1815.55,15,7,167.28,SHORT,MARGINAL
TATAMOTORS,Auto,HTF,-1675.56,37,32.4,0.82,6.14,-1665.29,26,30.8,0.74,6.52,-1665.29,26,30.8,0.74,6.52,3335.7,-5.951,11,6,2379.25,15,2,-4044.54,LONG,MARGINAL
NTPC,Energy,HTF,-3065.88,49,34.7,0.74,8.71,-1727.88,36,36.1,0.79,5.28,-1727.88,36,36.1,0.79,5.28,2684.19,-1.015,18,3,-3264.18,18,10,1536.31,SHORT,MARGINAL
TRENT,Consumer,HTF,-5297.79,50,34.0,0.65,11.87,-2009.59,33,39.4,0.79,6.09,-2009.59,33,39.4,0.79,6.09,3111.81,-2.213,16,8,1528.49,17,5,-3538.08,LONG,MARGINAL
ITC,FMCG,HTF,-4388.19,38,23.7,0.5,8.86,-2209.79,29,27.6,0.65,6.42,-2209.79,29,27.6,0.65,6.42,3279.92,-4.606,12,3,-744.78,17,5,-1465.01,LONG,AVOID
KOTAKBANK,Finance,HTF,-3262.89,42,35.7,0.66,7.4,-2560.79,32,34.4,0.65,8.01,-2560.79,32,34.4,0.65,8.01,4088.23,-0.914,18,8,-40.1,14,3,-2520.69,LONG,AVOID
JIOFIN,Finance,HTF,-3303.03,29,31.0,0.57,8.35,-2939.56,26,30.8,0.55,7.64,-2939.56,26,30.8,0.55,7.64,3865.67,-4.741,17,5,-2083.9,9,3,-855.66,SHORT,AVOID
AXISBANK,Finance,HTF,-5154.28,54,31.5,0.61,10.6,-3212.8,36,30.6,0.63,7.83,-3212.8,36,30.6,0.63,7.83,3917.37,-349.146,16,4,-2211.08,20,7,-1001.72,SHORT,AVOID
ICICIBANK,Finance,HTF,-3749.7,49,30.6,0.63,10.36,-3294.36,40,30.0,0.61,9.0,-3294.36,40,30.0,0.61,9.0,4521.03,-0.757,19,6,-1130.77,21,6,-2163.59,LONG,AVOID
WIPRO,IT,HTF,-4897.59,33,27.3,0.48,10.96,-3310.29,21,23.8,0.43,6.76,-3310.29,21,23.8,0.43,6.76,3387.18,-33.175,13,4,-1159.85,8,1,-2150.44,LONG,AVOID
APOLLOHOSP,Healthcare,BASE,-3529.41,34,29.4,0.59,9.38,-3891.98,23,21.7,0.41,8.94,-3529.41,34,29.4,0.59,9.38,4690.84,-1.459,22,6,-1780.84,12,4,-1748.57,SHORT,AVOID
GRASIM,Cement,HTF,-5556.78,55,32.7,0.62,12.11,-3549.84,44,36.4,0.69,9.42,-3549.84,44,36.4,0.69,9.42,4774.35,-0.754,21,6,-2400.61,23,10,-1149.23,SHORT,AVOID
SUNPHARMA,Pharma,HTF,-4881.56,49,28.6,0.56,10.22,-3773.53,32,28.1,0.5,8.83,-3773.53,32,28.1,0.5,8.83,4477.82,-0.897,15,5,-1262.36,17,4,-2511.17,LONG,AVOID
TECHM,IT,HTF,-6093.84,45,31.1,0.53,14.72,-3804.87,33,33.3,0.58,10.28,-3804.87,33,33.3,0.58,10.28,5292.02,-0.921,21,7,-2488.73,12,4,-1316.14,SHORT,AVOID
LT,Infra,HTF,-4019.73,91,38.5,0.77,13.68,-3833.18,65,36.9,0.71,12.07,-3833.18,65,36.9,0.71,12.07,6036.8,-0.799,39,13,-2580.16,26,11,-1253.02,SHORT,MARGINAL
SHRIRAMFIN,Finance,HTF,-7141.24,36,22.2,0.46,14.8,-4799.96,26,23.1,0.49,10.77,-4799.96,26,23.1,0.49,10.77,5388.16,-1.91,15,3,-2556.3,11,3,-2243.66,SHORT,AVOID
DRREDDY,Pharma,HTF,-5247.19,36,27.8,0.45,12.1,-4876.56,26,23.1,0.33,11.73,-4876.56,26,23.1,0.33,11.73,5921.92,-363.662,17,5,-2347.27,9,1,-2529.28,LONG,AVOID
TATACONSUM,FMCG,HTF,-5590.6,57,33.3,0.63,12.48,-5408.52,45,31.1,0.56,11.45,-5408.52,45,31.1,0.56,11.45,5763.44,-1.192,21,6,-2690.8,24,8,-2717.71,LONG,AVOID
COALINDIA,Metals,BASE,-5750.99,42,26.2,0.47,13.72,-7299.62,35,20.0,0.25,15.91,-5750.99,42,26.2,0.47,13.72,6934.7,-2.278,19,3,-3755.22,23,8,-1995.77,SHORT,AVOID
