symbol,sector,trades,won,lost,win_rate,profit_factor,net_pnl,max_dd_pct,sharpe,avg_win,avg_loss,htf,stagnation,vwap_ext,exits_SL,exits_TP,exits_STAG,exits_SQOFF
HDFCLIFE,Finance,16,10,6,62.5,2.72,4302,2.9,1.79,680,-416,N,N,Y,6,10,0,0
TATASTEEL,Metals,26,16,10,61.5,2.30,5000,4.4,1.07,553,-385,Y,Y,N,9,14,1,2
TITAN,Consumer,13,8,5,61.5,2.90,2787,1.6,2.47,532,-293,N,N,Y,5,8,0,0
M&M,Auto,20,12,8,60.0,2.24,3344,2.3,7.73,503,-336,Y,Y,N,6,10,3,1
ADANIPORTS,Conglomerate,38,17,21,44.7,1.37,2515,4.8,3.59,547,-323,N,Y,N,17,16,3,2
ONGC,Energy,18,9,9,50.0,1.77,2257,3.0,0.57,576,-325,Y,N,N,9,9,0,0
BAJAJFINSV,Finance,12,8,4,66.7,3.55,2180,2.0,1.60,379,-214,Y,Y,N,2,6,3,1
HINDALCO,Metals,19,11,8,57.9,2.68,4019,1.9,2.35,583,-299,Y,Y,N,5,10,2,2
SBILIFE,Finance,25,11,14,44.0,0.78,-963,5.0,-1.88,305,-309,Y,Y,N,12,8,3,2
TOTAL,,187,102,85,54.5,,25441,,,,,,,,71,91,15,10
