symbol,variant,total_trades,won,lost,win_rate,net_pnl,profit_factor,avg_win,avg_loss,max_drawdown_pct,sharpe,exits_sl,exits_tp,exits_early,exits_trail_sl,exits_squareoff
HDFCLIFE,baseline,38,19,19,50.0,4338.95,1.57,627.11,-398.75,3.62,1.265,19,19,0,0,0
HDFCLIFE,early_ema,37,15,22,40.54,764.23,1.09,594.14,-370.36,5.64,0.243,18,15,4,0,0
HDFCLIFE,early_vwap,37,16,21,43.24,2424.26,1.34,598.42,-340.5,5.62,0.506,15,16,6,0,0
HDFCLIFE,early_rsi,38,18,20,47.37,3173.58,1.4,611.88,-392.02,5.64,0.716,18,18,2,0,0
HDFCLIFE,early_time,37,18,19,48.65,2728.42,1.41,521.18,-350.15,4.24,0.879,16,15,6,0,0
HDFCLIFE,stagnation,38,19,19,50.0,4338.95,1.57,627.11,-398.75,3.62,1.265,19,19,0,0,0
HDFCLIFE,trail_atr,39,17,22,43.59,907.56,1.14,439.15,-298.09,4.23,1.649,4,12,0,22,0
HDFCLIFE,trail_candle,38,14,24,36.84,-453.0,0.93,426.58,-267.71,4.82,-0.505,7,9,0,22,0
HDFCLIFE,trail_pct,38,19,19,50.0,4338.95,1.57,627.11,-398.75,3.62,1.265,19,19,0,0,0
HDFCLIFE,trail_be_atr,38,20,18,52.63,1738.87,1.25,431.29,-382.61,3.44,0.771,15,14,0,8,0
HDFCLIFE,combined,39,18,21,46.15,-504.78,0.93,401.14,-367.87,6.31,-27.576,15,12,3,8,0
TATASTEEL,baseline,25,14,11,56.0,3157.14,1.68,556.64,-421.44,4.37,1.123,11,13,0,0,1
TATASTEEL,early_ema,25,14,11,56.0,3157.14,1.68,556.64,-421.44,4.37,1.123,11,13,0,0,1
TATASTEEL,early_vwap,31,16,15,51.61,3239.32,1.58,553.02,-373.93,4.33,0.955,12,14,3,0,2
TATASTEEL,early_rsi,25,14,11,56.0,3157.14,1.68,556.64,-421.44,4.37,1.123,11,13,0,0,1
TATASTEEL,early_time,25,14,11,56.0,3157.14,1.68,556.64,-421.44,4.37,1.123,11,13,0,0,1
TATASTEEL,stagnation,26,15,11,57.69,4360.67,2.03,574.0,-386.31,4.37,1.086,10,14,1,0,1
TATASTEEL,trail_atr,28,16,12,57.14,4227.27,2.25,475.95,-282.33,4.65,1.161,0,12,0,15,0
TATASTEEL,trail_candle,28,13,15,46.43,3438.34,1.91,555.52,-252.23,4.07,0.848,5,10,0,12,0
TATASTEEL,trail_pct,25,14,11,56.0,3157.14,1.68,556.64,-421.44,4.37,1.123,11,13,0,0,1
TATASTEEL,trail_be_atr,28,16,12,57.14,3163.34,1.65,502.72,-406.69,4.52,0.73,12,13,0,3,0
TATASTEEL,combined,28,16,12,57.14,3163.34,1.65,502.72,-406.69,4.52,0.73,12,13,0,3,0
TITAN,baseline,31,15,16,48.39,3081.8,1.64,526.67,-301.14,4.58,0.757,16,15,0,0,0
TITAN,early_ema,31,14,17,45.16,2615.91,1.54,533.47,-285.46,4.85,0.579,16,14,1,0,0
TITAN,early_vwap,31,14,17,45.16,2875.95,1.61,540.54,-275.98,4.58,0.67,13,14,4,0,0
TITAN,early_rsi,31,15,16,48.39,3081.8,1.64,526.67,-301.14,4.58,0.757,16,15,0,0,0
TITAN,early_time,31,15,16,48.39,3081.8,1.64,526.67,-301.14,4.58,0.757,16,15,0,0,0
TITAN,stagnation,31,13,18,41.94,2151.79,1.46,522.97,-258.16,4.03,0.623,14,13,4,0,0
TITAN,trail_atr,31,12,19,38.71,1344.84,1.38,405.57,-185.37,4.32,0.305,3,9,0,19,0
TITAN,trail_candle,31,11,20,35.48,2606.08,1.78,542.41,-168.02,2.94,1.049,4,11,0,16,0
TITAN,trail_pct,31,15,16,48.39,3081.8,1.64,526.67,-301.14,4.58,0.757,16,15,0,0,0
TITAN,trail_be_atr,31,15,16,48.39,2818.1,1.64,481.46,-275.24,4.06,0.972,14,14,0,3,0
TITAN,combined,31,14,17,45.16,2285.22,1.51,480.19,-261.02,4.23,0.689,14,13,1,3,0
M&M,baseline,27,13,14,48.15,2625.46,1.51,600.75,-370.31,4.47,4.214,13,13,0,0,1
M&M,early_ema,27,12,15,44.44,1662.0,1.31,585.58,-357.66,4.47,4.839,12,12,2,0,1
M&M,early_vwap,27,13,14,48.15,3335.32,1.74,605.1,-323.64,4.48,6.346,8,13,5,0,1
M&M,early_rsi,27,13,14,48.15,2625.46,1.51,600.75,-370.31,4.47,4.214,13,13,0,0,1
M&M,early_time,27,13,14,48.15,3065.92,1.65,600.39,-338.51,3.82,3.25,10,12,4,0,1
M&M,stagnation,27,15,12,55.56,3408.47,1.83,500.64,-341.77,3.37,2.137,10,12,4,0,1
M&M,trail_atr,28,11,17,39.29,1310.35,1.4,417.68,-193.18,4.42,1.098,0,7,0,20,0
M&M,trail_candle,27,9,18,33.33,879.37,1.27,454.01,-178.15,4.18,5.816,0,6,0,21,0
M&M,trail_pct,27,13,14,48.15,2625.46,1.51,600.75,-370.31,4.47,4.214,13,13,0,0,1
M&M,trail_be_atr,27,10,17,37.04,483.57,1.11,479.72,-253.74,4.98,0.377,11,8,0,7,1
M&M,combined,27,9,18,33.33,-437.75,0.9,450.58,-249.61,4.98,-0.207,10,7,2,7,1
ADANIPORTS,baseline,44,20,24,45.45,2285.94,1.26,554.31,-366.68,5.85,1.419,23,19,0,0,2
ADANIPORTS,early_ema,44,19,25,43.18,2266.8,1.27,561.36,-335.96,5.85,1.424,22,18,2,0,2
